Data,Cliques,Impressões,CTR,Posição
2025-12-07,0,0,,
2025-12-08,0,0,,
2025-12-09,0,0,,
2025-12-10,0,3,0%,5
2025-12-11,0,2,0%,8.5
2025-12-12,0,4,0%,32.2
2025-12-13,0,2,0%,7
2025-12-14,0,3,0%,52.7
2025-12-15,0,8,0%,35.9
2025-12-16,0,6,0%,17.8
2025-12-17,0,7,0%,23.7
2025-12-18,0,4,0%,13
2025-12-19,1,6,16.67%,49.8
2025-12-20,0,4,0%,16.2
2025-12-21,0,3,0%,59.7
2025-12-22,0,13,0%,53.8
2025-12-23,0,4,0%,51.5
2025-12-24,0,5,0%,22.2
2025-12-25,0,3,0%,33.3
2025-12-26,0,3,0%,33.3
2025-12-27,0,7,0%,45.6
2025-12-28,0,12,0%,41.6
2025-12-29,0,16,0%,27.4
2025-12-30,0,10,0%,41.9
2025-12-31,0,33,0%,11.8
2026-01-01,0,11,0%,48.8
2026-01-02,0,5,0%,24.8
2026-01-03,0,8,0%,35.6
2026-01-04,0,13,0%,28.8
2026-01-05,0,12,0%,5.7
2026-01-06,1,14,7.14%,27.4
2026-01-07,0,14,0%,26.7
2026-01-08,0,16,0%,12
2026-01-09,2,17,11.76%,20.8
2026-01-10,0,5,0%,52.6
2026-01-11,0,5,0%,7.8
2026-01-12,0,6,0%,2.3
2026-01-13,0,6,0%,11.5
2026-01-14,0,0,,
2026-01-15,0,4,0%,48.2
2026-01-16,0,5,0%,79.6
2026-01-17,0,7,0%,74
2026-01-18,0,23,0%,73.2
2026-01-19,0,22,0%,32.9
2026-01-20,0,6,0%,57.7
2026-01-21,0,14,0%,34.9
2026-01-22,1,11,9.09%,27.3
2026-01-23,0,13,0%,33.8
2026-01-24,1,11,9.09%,49.8
2026-01-25,0,6,0%,38.8
2026-01-26,0,5,0%,31
2026-01-27,0,17,0%,20.5
2026-01-28,0,28,0%,13.9
2026-01-29,0,68,0%,10.9
2026-01-30,1,58,1.72%,15.7
2026-01-31,0,39,0%,13.8
2026-02-01,1,16,6.25%,13.2
2026-02-02,0,61,0%,18.1
2026-02-03,0,89,0%,19.9
2026-02-04,0,58,0%,20.1
2026-02-05,0,71,0%,13.7
2026-02-06,1,67,1.49%,11.4
2026-02-07,0,36,0%,16.4
2026-02-08,3,35,8.57%,12.2
2026-02-09,6,108,5.56%,10.5
2026-02-10,2,126,1.59%,11
2026-02-11,3,106,2.83%,11.8
2026-02-12,3,90,3.33%,11.3
2026-02-13,2,98,2.04%,10.7
2026-02-14,0,60,0%,13.7
2026-02-15,0,74,0%,28.4
2026-02-16,0,77,0%,14
2026-02-17,0,96,0%,15.4
2026-02-18,0,105,0%,15.6
2026-02-19,0,119,0%,15.7
2026-02-20,0,124,0%,10.8
2026-02-21,0,59,0%,14.6
2026-02-22,0,97,0%,18.3
2026-02-23,0,125,0%,12.4
2026-02-24,1,127,0.79%,15.7
2026-02-25,0,143,0%,11.2
2026-02-26,1,164,0.61%,14.9
2026-02-27,3,118,2.54%,16.2
2026-02-28,1,51,1.96%,16.6
2026-03-01,2,84,2.38%,21.3
2026-03-02,4,206,1.94%,11.1
2026-03-03,5,241,2.07%,13.1
2026-03-04,5,224,2.23%,14.3
2026-03-05,2,200,1%,13.6
2026-03-06,4,250,1.6%,14.7
