País,Cliques,Impressões,CTR,Posição
Brasil,41,3128,1.31%,17.67
Estados Unidos,14,696,2.01%,9.7
Portugal,1,42,2.38%,28.88
Reino Unido,0,54,0%,8.44
França,0,46,0%,7.8
Alemanha,0,25,0%,9.68
México,0,24,0%,9.42
Canadá,0,23,0%,13.39
Indonésia,0,18,0%,26.56
Índia,0,18,0%,27.39
Angola,0,17,0%,16.24
Turquia,0,15,0%,12.33
Espanha,0,13,0%,20.85
Itália,0,11,0%,11.45
Vietnã,0,10,0%,11.5
Ucrânia,0,9,0%,8.67
Coréia do Sul,0,9,0%,16.33
Colômbia,0,9,0%,34
Equador,0,7,0%,7.43
Moçambique,0,7,0%,7.86
Sérvia,0,7,0%,10.86
Egito,0,7,0%,18.43
Argélia,0,6,0%,17
Filipinas,0,6,0%,45.83
Suécia,0,5,0%,9.4
Bélgica,0,5,0%,9.6
Países Baixos,0,5,0%,10.4
Marrocos,0,5,0%,13.2
Argentina,0,5,0%,32.2
Áustria,0,4,0%,9
Grécia,0,3,0%,7
Peru,0,3,0%,7.33
Hungria,0,3,0%,8
Costa Rica,0,3,0%,9.33
Croácia,0,3,0%,10.33
Ilhas Seychelles,0,3,0%,10.33
Emirados Árabes Unidos,0,3,0%,11
Rússia,0,3,0%,13
República Dominicana,0,3,0%,17
Polônia,0,3,0%,17.33
Bangladesh,0,3,0%,18.67
África do Sul,0,3,0%,21.67
Cabo Verde,0,3,0%,33.33
Guiné-Bissau,0,2,0%,6.5
Camboja,0,2,0%,6.5
Azerbaijão,0,2,0%,7.5
Irlanda,0,2,0%,8.5
Tailândia,0,2,0%,8.5
Suíça,0,2,0%,9.5
Geórgia,0,2,0%,10
Honduras,0,2,0%,10
Trinidad e Tobago,0,2,0%,10
República Tcheca,0,2,0%,10.5
Panamá,0,2,0%,11.5
Cazaquistão,0,2,0%,16.5
Albânia,0,2,0%,25.5
Guatemala,0,2,0%,40.5
Etiópia,0,2,0%,62
Bolívia,0,1,0%,4
Gana,0,1,0%,4
Bulgária,0,1,0%,7
Chile,0,1,0%,7
Irã,0,1,0%,7
Porto Rico,0,1,0%,7
Paraguai,0,1,0%,7
Catar,0,1,0%,7
Finlândia,0,1,0%,8
Dinamarca,0,1,0%,9
Jordânia,0,1,0%,9
Japão,0,1,0%,9
Lituânia,0,1,0%,9
Armênia,0,1,0%,10
Barein,0,1,0%,10
Chipre,0,1,0%,10
Nicarágua,0,1,0%,10
Paquistão,0,1,0%,10
Eslováquia,0,1,0%,10
Letônia,0,1,0%,11
Macedônia,0,1,0%,11
Noruega,0,1,0%,11
Nova Zelândia,0,1,0%,11
Malásia,0,1,0%,12
El Salvador,0,1,0%,12
Síria,0,1,0%,45
Israel,0,1,0%,82
