"Date","Clicks","Impressions","Avg. CTR"
"12/18/2025 12:00:00 AM","0","20","0"
"12/19/2025 12:00:00 AM","1","13","7.69"
"12/20/2025 12:00:00 AM","0","1","0"
"12/21/2025 12:00:00 AM","0","3","0"
"12/22/2025 12:00:00 AM","1","18","5.56"
"12/23/2025 12:00:00 AM","0","15","0"
"12/24/2025 12:00:00 AM","0","0","0"
"12/25/2025 12:00:00 AM","0","0","0"
"12/26/2025 12:00:00 AM","0","3","0"
"12/27/2025 12:00:00 AM","0","1","0"
"12/28/2025 12:00:00 AM","0","0","0"
"12/29/2025 12:00:00 AM","0","12","0"
"12/30/2025 12:00:00 AM","0","6","0"
"12/31/2025 12:00:00 AM","0","4","0"
"1/1/2026 12:00:00 AM","0","0","0"
"1/2/2026 12:00:00 AM","0","11","0"
"1/3/2026 12:00:00 AM","0","1","0"
"1/4/2026 12:00:00 AM","0","5","0"
"1/5/2026 12:00:00 AM","4","16","25"
"1/6/2026 12:00:00 AM","0","12","0"
"1/7/2026 12:00:00 AM","2","17","11.76"
"1/8/2026 12:00:00 AM","2","29","6.9"
"1/9/2026 12:00:00 AM","2","33","6.06"
"1/10/2026 12:00:00 AM","0","4","0"
"1/11/2026 12:00:00 AM","0","3","0"
"1/12/2026 12:00:00 AM","1","24","4.17"
"1/13/2026 12:00:00 AM","2","29","6.9"
"1/14/2026 12:00:00 AM","0","24","0"
"1/15/2026 12:00:00 AM","6","44","13.64"
"1/16/2026 12:00:00 AM","1","35","2.86"
"1/17/2026 12:00:00 AM","1","6","16.67"
"1/18/2026 12:00:00 AM","0","6","0"
"1/19/2026 12:00:00 AM","4","55","7.27"
"1/20/2026 12:00:00 AM","1","58","1.72"
"1/21/2026 12:00:00 AM","0","42","0"
"1/22/2026 12:00:00 AM","1","55","1.82"
"1/23/2026 12:00:00 AM","4","36","11.11"
"1/24/2026 12:00:00 AM","0","11","0"
"1/25/2026 12:00:00 AM","1","8","12.5"
"1/26/2026 12:00:00 AM","3","57","5.26"
"1/27/2026 12:00:00 AM","6","68","8.82"
"1/28/2026 12:00:00 AM","1","61","1.64"
"1/29/2026 12:00:00 AM","3","59","5.08"
"1/30/2026 12:00:00 AM","3","62","4.84"
"1/31/2026 12:00:00 AM","0","20","0"
"2/1/2026 12:00:00 AM","0","17","0"
"2/2/2026 12:00:00 AM","5","111","4.5"
"2/3/2026 12:00:00 AM","2","151","1.32"
"2/4/2026 12:00:00 AM","3","134","2.24"
"2/5/2026 12:00:00 AM","4","123","3.25"
"2/6/2026 12:00:00 AM","7","116","6.03"
"2/7/2026 12:00:00 AM","2","25","8"
"2/8/2026 12:00:00 AM","3","40","7.5"
"2/9/2026 12:00:00 AM","4","128","3.12"
"2/10/2026 12:00:00 AM","4","156","2.56"
"2/11/2026 12:00:00 AM","5","168","2.98"
"2/12/2026 12:00:00 AM","3","162","1.85"
"2/13/2026 12:00:00 AM","1","138","0.72"
"2/14/2026 12:00:00 AM","0","23","0"
"2/15/2026 12:00:00 AM","1","26","3.85"
"2/16/2026 12:00:00 AM","0","63","0"
"2/17/2026 12:00:00 AM","2","37","5.41"
"2/18/2026 12:00:00 AM","2","95","2.11"
"2/19/2026 12:00:00 AM","1","101","0.99"
"2/20/2026 12:00:00 AM","2","85","2.35"
"2/21/2026 12:00:00 AM","0","32","0"
"2/22/2026 12:00:00 AM","2","32","6.25"
"2/23/2026 12:00:00 AM","1","96","1.04"
"2/24/2026 12:00:00 AM","1","94","1.06"
"2/25/2026 12:00:00 AM","2","113","1.77"
"2/26/2026 12:00:00 AM","6","134","4.48"
"2/27/2026 12:00:00 AM","3","114","2.63"
"2/28/2026 12:00:00 AM","1","31","3.23"
"3/1/2026 12:00:00 AM","1","24","4.17"
"3/2/2026 12:00:00 AM","23","166","13.86"
"3/3/2026 12:00:00 AM","7","149","4.7"
"3/4/2026 12:00:00 AM","15","244","6.15"
"3/5/2026 12:00:00 AM","2","167","1.2"
"3/6/2026 12:00:00 AM","7","146","4.79"
